Nachname;Name;Oberthema;Thema;Fundstelle;Sitzung;Datum;;
Teusch;Dr. Christine Teusch;Ausschüsse;Erweiterung der Zuständigkeit des 23. Ausschusses (Berichterstatterin);Bd. 348, 74. Sitz. S. 2645B;348;1921-03-03;;
Teusch;Dr. Christine Teusch;Beamte;Änderungen des Besoldungsgesetzes vom 20. April 1920. Gesetzentwurf: II. B. (persönlich);Bd. 346, 48. Sitz. S. 1744C;48;1920-10-16;;
Teusch;Dr. Christine Teusch;Gewerbe- und Kaufmannsgerichte;Gewährung des aktiven und passiven Wahlrechts für Frauen. (Anfrage);Bd. 344, 14. Sitz. S. 420B;14;1920-07-30;;
Teusch;Dr. Christine Teusch;Gewerbe- und Kaufmannsgerichte;Gewährung des aktiven und passiven Wahlrechts für Frauen;Bd. 348, 74. Sitz. S. 2640B;74;1921-03-03;;
Teusch;Dr. Christine Teusch;Gewerbe- und Kaufmannsgerichte;Gewährung des aktiven und passiven Wahlrechts für Frauen. (Berichterstatterin);Bd. 348, 74. Sitz. S. 2638A;74;1921-03-03;;
Teusch;Dr. Christine Teusch;Gewerbe- und Kaufmannsgerichte;Abänderung des Gewerbe- und Kaufmannsgerichtsgesetzes. Gesetzentwurf: II. B. (Abstimmung);Bd. 352, 152. Sitz. S. 5359A;152;1921-10-17;;
Teusch;Dr. Christine Teusch;Gewerbe- und Kaufmannsgerichte;Abänderung des Gewerbe- und Kaufmannsgerichtsgesetzes. Gesetzentwurf: II. B. (Berichterstatterin);Bd. 352, 152. Sitz. S. 5355D;152;1921-10-17;;
Teusch;Dr. Christine Teusch;Kleinrentnerfürsorge;Gesetzentwurf: I. B/ Abtrennung der Armenfürsorge/ Kreis der Fürsorgeberechtigten;Bd. 358, 293. Sitz. S. 9554A;293;1923-01-27;;
Teusch;Dr. Christine Teusch;Militärversorgung;Wehrmachtversorgungs-Gesetzentwurf: II. B.;Bd. 350, 130. Sitz. S. 4388D;130;1921-07-04;;
Teusch;Dr. Christine Teusch;Reichshaushaltsplan für 1922;Reichsarbeitsministerium: II. B.;Bd. 355, 214. Sitz. S. 7416D;214;1922-05-19;;
Teusch;Dr. Christine Teusch;Reichstag;Wahl eines Schriftführers;Bd. 352, 157. Sitz. S. 5475D;157;1922-01-23;;
Teusch;Dr. Christine Teusch;Reichsversicherungsanstalt;Dienstordnung;Bd. 357, 262. Sitz. S. 8865A;262;1922-10-21;;
Teusch;Dr. Christine Teusch;Reichsversicherungsanstalt;Verwaltung, Präsident und Mitglieder des Direktoriums, Ernennung;Bd. 357, 262. Sitz. S. 8864C;262;1922-10-21;;
Teusch;Dr. Christine Teusch;Reichsversicherungsanstalt;Verwaltung, Präsident und Mitglieder des Direktoriums, Ernennung;Bd. 357, 263. Sitz. S. 8895A;263;1922-10-23;;
Teusch;Dr. Christine Teusch;Unterstützungen;Erhöhung für Familien Kriegsgefangener und Vermißter. (Anfrage);Bd. 344, 14. Sitz. S. 418C;14;1920-07-30;;
Teusch;Dr. Christine Teusch;Versicherungswesen;Angestelltenversicherung. Verschmelzung mit der Invalidenversicherung/ Einheitliche Rechtsprechung durch gemeinsame Spruchbehörden, Weg zur Verschmelzung/ Änderung des Versicherungsgesetzes für Angestellte. Gesetzentwurf: II. B./ Einbeziehung des Personals der Wohlfahrts- und Krankenpflege/ Leistungs- und Beitragstarif, Steigerungsbetrag/ Rentenverfahren, Umlage oder Anwartschaftsdeckungsverfahren;Bd. 357, 262. Sitz. S. 8862D;262;1922-10-21;;
Teusch;Dr. Christine Teusch;Versicherungswesen;Änderung des Versicherungsgesetzes für Angestellte. Gesetzentwurf: II. B.;Bd. 357, 263. Sitz. S. 8894D;263;1922-10-23;;
Teusch;Dr. Christine Teusch;Wochenhilfe;Wochenhilfe und Wochenfürsorge. Gesetzentwurf: III. B./ Übertragung auf Mittelstandsfrauen;Bd. 350, 133. Sitz. S. 4530C;133;1921-07-07;;
Teusch;Dr. Christine Teusch;Wochenhilfe;Wochenhilfe. Gesetzentwurf: II. B. (Geschäftsordnung);Bd. 351, 150. Sitz. S. 5247D;150;1921-10-15;;
Teusch;Dr. Christine Teusch;Wochenhilfe;Wochenhilfe. Gesetzentwurf: II. B./ Stillgeld, Begrenzung oder gleitender Leistungsbeitrag Milchverbilligung;Bd. 351, 150. Sitz. S. 5238B;150;1921-10-15;;
Teusch;Dr. Christine Teusch;Wohlfahrtspflege;Beihilfen an soziale und karitative Reichsorganisationen für Unkosten im Verkehr mit den behördlichen Stellen;Bd. 355, 214. Sitz. S. 7416D;214;1922-05-19;;
Teusch;Dr. Christine Teusch;Wohlfahrtspflege;Anträge Dr. Stresemann, betr. Beihilfe für Einrichtungen der Wohlfahrtspflege, sowie Müller (Franken), betr. Unterstützung gemeinnütziger Anstalten;Bd. 357, 261. Sitz. S. 8849C;261;1922-10-21;;
von Kardorff-Oheimb;Katharina von Kardorff-Oheimb;Gerichte;Entlastung der Gerichte, Gesetzentwurf: III. B.;Bd. 348, 78. Sitz. S.273B;78;1921-03-08;;
von Kardorff-Oheimb;Katharina von Kardorff-Oheimb;Gerichtsverfassung;Zulassung der Frauen zum Schöffen- und Geschworenenamt;Bd. 348, 78. Sitz. S. 2734B;78;1921-03-08;;
Wackwitz;Marie Wackwitz;Banken;Provisionsberechnung der Großbanken bei Dollarschatzanweisungen. (Anfrage);Bd. 360, 374. Sitz. S. 11582B;374;1923-07-04;;
Wackwitz;Marie Wackwitz;Beamte;Besoldung, Gesetzentwurf, betr. Änderungen des Besoldungsgesetzes vom 20. April 1920. II. B.;Bd. 346, 48. Sitz. S. 1744D;48;1920-10-16;;
Wackwitz;Marie Wackwitz;Branntweinmonopol;Gesetzentwurf: II. B.;Bd. 353, 182. Sitz. S. 6210C;182;1922-03-10;;
Wackwitz;Marie Wackwitz;Gerichtsverfassung;Gesetzentwurf zur Entlastung der Gerichte: II. B./ Zulassung der Frauen zum Schöffen- und Geschworenenamt;Bd. 347, 73. Sitz. S. 2623D;73;1921-03-02;;
Wackwitz;Marie Wackwitz;Gerichtsverfassung;Gesetzentwurf: II. B.;Bd. 354, 204. Sitz. S. 6917C;204;1922-04-06;;
Wackwitz;Marie Wackwitz;Geschlechtskrankheiten;Entwurf eines Gesetzes zur Bekämpfung der Geschlechtskrankheiten: II. B.;Bd. 360, 365. Sitz. S. 11371B;365;1923-06-14;;
Wackwitz;Marie Wackwitz;Hebammenwesen;Verstaatlichung;Bd. 350, 132. Sitz. S. 4463A;132;1921-07-06;;
Wackwitz;Marie Wackwitz;Invalidenversicherung;Entwurf eines Gesetzes über Notstandsmaßnahmen für Invalidenrentner: II. B.;Bd. 351, 146. Sitz. S. 5092D;146;1921-11-18;;
Wackwitz;Marie Wackwitz;Ortsklassenverzeichnis;Mündlicher Bericht des 23. Ausschusses über die Vorlegung eines vorläufigen Gesetzentwurfs;Bd. 348, 88. Sitz. S. 3230B;88;1921-03-18;;
Wackwitz;Marie Wackwitz;Ortsklassenverzeichnis;Gesetzentwurf, betr. die vorläufige Neuaufstellung des Ortsklassenverzeichnisses: III. B.;Bd. 349, 101. Sitz. S. 3567D;101;1921-05-04;;
Wackwitz;Marie Wackwitz;Trunksucht;Schäden und Bekämpfung des sozialen Alkoholismus;Bd. 353, 182. Sitz. S. 6210D;182;1922-03-10;;
Wackwitz;Marie Wackwitz;Umsatzsteuer;Gesetzentwurf zur Abänderung des Umsatzsteuergesetzes: II. B.;Bd. 353, 193. Sitz. S. 6476A;193;1922-03-22;;
Wackwitz;Marie Wackwitz;Wochenhilfe;Gesetzentwurf, betr. Wochenhilfe und Wochenfürsorge: II. B.;Bd. 350, 132. Sitz. S. 4462B;132;1921-07-06;;
Wackwitz;Marie Wackwitz;Wochenhilfe;Desgleichen, Bericht des Ausschusses für soziale Angelegenheiten: II. B.;Bd. 351, 150. Sitz. S. 5245C;150;1921-10-15;;
Wurm;Mathilde Wurm;Amerika;Geschenk von 2500 Milchkühen für deutsche Kinder;Bd. 346, 46. Sitz. S. 1635A;46;1920-10-14;;
Wurm;Mathilde Wurm;Arbeiterschutz;Weibliche Jugend, Verbot der Arbeit in gewerblichen Großbetrieben vor dem 17. Lebensjahre;Bd. 355, 213. Sitz. S. 7338D;213;1922-05-18;;
Wurm;Mathilde Wurm;Dienstjahr, wirtschaftliches;Einführung für die männliche und weibliche Jugend;Bd. 344, 14. Sitz. S. 440C;14;1920-07-30;;
Wurm;Mathilde Wurm;Fleisch;Angebot von Gratisvieh aus Argentinien/ Preisgestaltung/ Gefrierfleisch, Einfuhr, Änderung des Fleischbeschaugesetzes, Stellung des Reichsministeriums des Innern;Bd. 359, 331. Sitz. S. 10453D;331;1923-04-12;;
Wurm;Mathilde Wurm;Fleisch;Gefrierfleisch, Einfuhr, Änderung des Fleischbeschaugesetzes, Stellung des Reichsministeriums des Innern;Bd. 359, 331. Sitz. S. 10460A;331;1923-04-12;;
Wurm;Mathilde Wurm;Fleisch;Verbilligung durch Aufhebung des Einfuhrzolls;Bd. 359, 351. Sitz. S. 10960D;351;1923-05-11;;
Wurm;Mathilde Wurm;Friedensvertrag;Ablieferung von Milchkühen;Bd. 346, 46. Sitz. S. 1634C;46;1920-10-14;;
Wurm;Mathilde Wurm;Gerichte;Entlastung der Gerichte. Gesetzentwurf: II. B.;Bd. 347, 73. Sitz. S. 2624A;73;1921-03-02;;
Wurm;Mathilde Wurm;Gerichtsverfassung;Zulassung der Frauen zum Schöffen- und Geschworenenamt;Bd. 347, 73. Sitz. S. 2624B;73;1921-03-02;;
Wurm;Mathilde Wurm;Gerichtsverfassung;Anfrage;Bd. 349, 100. Sitz. S. 3541A;100;1921-05-03;;
Wurm;Mathilde Wurm;Gerichtsverfassung;Gleichstellung der Frauen in der Justiz. Antrag Müller (Franken): II. B. (Berichterstatterin);Bd. 350, 133. Sitz. S. 4562D;133;1921-07-07;;
Wurm;Mathilde Wurm;Getreide;Umlageverfahren des Erntejahres 1921, Zweckmäßigkeit, Ablieferung;Bd. 351, 144. Sitz. S. 4989D;144;1921-11-11;;
Wurm;Mathilde Wurm;Getreide;Umlageverfahren des Erntejahres 1921, Zweckmäßigkeit, Ablieferung;Bd. 351, 150. Sitz. S. 5234C;150;1921-12-15;;
Wurm;Mathilde Wurm;Gewerkschaften;Warenversorgungsstelle, Kündigung des Regierungskredits;Bd. 351, 144. Sitz. S. 4995B;144;1921-11-11;;
Wurm;Mathilde Wurm;Hausangestellte;Lehrtöchter im Hausdienst, Lehrdienstjahr;Bd. 355, 213. Sitz. S. 7339A;213;1922-05-18;;
Wurm;Mathilde Wurm;Jugendfürsorge;Entwurf eines Reichsjugendwohlfahrtsgesetzes: II. B. (Altersgrenze für die Fürsorgeerziehung/ Ärztliche Untersuchung der Kinder vor ihrer Aufnahme/ Aufenthaltsort der Kinder, Mitteilung an die Erziehungsberechtigten)/ Jugendämter, Besetzung mit sozialgeschulten Kräften/ Mitwirkung der freiwilligen Wohlfahrtsverbände/ Kosten der Ausführung des Gesetzes/ Polizeiliche Jugendaufsicht, Übertragung auf das Jugendamt/ Private Kinderpflegeanstalten, Berücksichtigung durch die Jugendämter;Bd. 355, 226. Sitz. S. 7816A;226;1922-06-14;;
Wurm;Mathilde Wurm;Jugendliche Personen;Arbeitszeit. Sechsstündige Arbeitszeit mit Einschluß der Pflichtschulzeit usw. bis zum 16. Lebensjahre/ Berufsausbildung, Berufsschulen und Lehrwerkstätten/ Berufsberatung, Ausbau/ Vereins- und Versammlungsrecht, Anschluß an Gewerkschaften und Jugendverbände;Bd. 355, 213. Sitz. S. 7338C;213;1922-05-18;;
Wurm;Mathilde Wurm;Jugendliche Personen;Arbeitszeit. Sechsstündige Arbeitszeit mit Einschluß der Pflichtschulzeit usw. bis zum 16. Lebensjahre;Bd. 355, 226. Sitz. S. 7817C;226;1922-06-14;;
Wurm;Mathilde Wurm;Kadettenanstalten;Kadettenanstalt Lichterfelde. Überlassung je eines Gebäudes für die Schutzpolizei und das Provinzialschulkollegium. (Anfrage);Bd. 349, 113. Sitz. S. 3846C;113;1921-06-14;;
Wurm;Mathilde Wurm;Kadettenanstalten;Verwendung der ehemaligen militärischen Bildungsanstalten;Bd. 350, 127. Sitz. S. 4224D;127;1921-06-30;;
Wurm;Mathilde Wurm;Kartoffeln;Regelung des Verkehrs durch ein Umlageverfahren. Antrag Frau Agnes u. Gen.;Bd. 351, 150. Sitz. S. 5234B;150;1921-10-15;;
Wurm;Mathilde Wurm;Kartoffeln;Regelung des Verkehrs durch ein Umlageverfahren. Antrag Frau Agnes u. Gen. (Berichterstatterin);Bd. 351, 150. Sitz. S. 5233D;150;1921-10-15;;
Wurm;Mathilde Wurm;Kartoffeln;Regelung des Verkehrs durch ein Umlageverfahren. Antrag Frau Agnes u. Gen./ Verschiebung ins Ausland;Bd. 351, 144. Sitz. S. 4991D;144;1921-11-11;;
Wurm;Mathilde Wurm;Kinderschutz;Verbot gewerblicher oder erwerbsmäßiger Kinderarbeit vor dem 14. Lebensjahre;Bd. 355, 213. Sitz. S. 7340C;213;1922-05-18;;
Wurm;Mathilde Wurm;Landwirtschaft;Sozialisierung;Bd. 346, 46. Sitz. S. 1637A;46;1920-12-14;;
Wurm;Mathilde Wurm;Lehrlingswesen;Lehrlingszüchterei, Ausbeutungsverhältnis/ Lohn- und Arbeitsverhältnisse, Regelung durch Tarifvertrag;Bd. 355, 213. Sitz. S. 7339C;213;1922-05-18;;
Wurm;Mathilde Wurm;Lehrlingswesen;Regelung des Lehrlingswesens im Handwerk. Interpellation Hergt, Dr. Becker (Hessen), Dr. Petersen, Leicht, Alpers u. Gen./ Auswahl der Lehrlinge, psychotechnische Prüfung der Anwärter bei Großbetrieben/ Körperliche Züchtigung/ Lohn- und Arbeitsverhältnisse, Regelung durch Tarifvertrag;Bd. 355, 217. Sitz. S. 7605A;217;1922-05-23;;
Wurm;Mathilde Wurm;Mehl;Erhöhung der Ration, Antrag Frau Agnes u. Gen. (Berichterstatterin);Bd. 351, 150. Sitz. S. 5234A;150;1921-10-15;;
Wurm;Mathilde Wurm;Mehl;Erhöhung der Ration, Antrag Frau Agnes u. Gen.;Bd. 351, 144. Sitz. S. 4990B;144;1921-11-11;;
Wurm;Mathilde Wurm;Milchversorgung;Freigabe, Einfuhr;Bd. 346, 46. Sitz. S. 1633C;46;1920-12-14;;
Wurm;Mathilde Wurm;Preise;Bekämpfung des Preiswuchers;Bd. 351, 144. Sitz. S. 4990D;144;1921-11-11;;
Wurm;Mathilde Wurm;Reichshaushalt;Reichshaushaltsplan für 1921: Nachtrag: II. B.;Bd. 350, 130. Sitz. S. 4367B;130;1921-07-04;;
Wurm;Mathilde Wurm;Reichshaushalt;Reichshaushaltsplan für 1920. Reichsernährungsministerium: II. B.;Bd. 346, 46. Sitz. S. 1633A;46;1921-11-11;;
Wurm;Mathilde Wurm;Reichshaushalt;Reichshaushaltsplan für 1922.;Bd. 355, 213. Sitz. S. 7338A;213;1922-05-18;;
Wurm;Mathilde Wurm;Reichshaushalt;Reichshaushaltsplan für 1922: Reichswirtschaftsministerium: II. B.;Bd. 355, 217. Sitz. S. 7605A;217;1922-05-23;;
Wurm;Mathilde Wurm;Reichshaushalt;Reichshaushaltsplan für 1923: Reichsernährungsministerium: II. B.;Bd. 359, 331. Sitz. S. 10452D;331;1923-04-12;;
Wurm;Mathilde Wurm;Reichshaushalt;Reichshaushaltsplan für 1923: Reichsernährungsministerium: II. B./ Allgemeine Finanzverwaltung: II. B.;Bd. 359, 331. Sitz. S. 10460A;331;1923-04-12;;
Wurm;Mathilde Wurm;Reichshaushalt;Reichshaushaltsplan für 1923: Allgemeine Finanzverwaltung: II. B. (Geschäftsordnung);Bd. 359, 351. Sitz. S. 10962A;351;1923-05-11;;
Wurm;Mathilde Wurm;Reichshaushalt;Reichshaushaltsplan für 1923: Reichsministerium des Innern, Ergänzung: II. B.;Bd. 360, 352. Sitz. S. 10989B;352;1923-05-12;;
Wurm;Mathilde Wurm;Schulen;Grundsätzliche Interkonfessionalität der höheren Schulen, Übertragung auf die aus den Kadettenanstalten hervorgehenden Bildungsanstalten;Bd. 350, 127. Sitz. S. 4224D;127;1921-06-30;;
Wurm;Mathilde Wurm;Wehrpflicht;Abschaffung der allgemeinen Wehrpflicht. Gesetzentwurf: II. B.;Bd. 344, 14. Sitz. S. 440C;14;1920-07-30;;
Wurm;Mathilde Wurm;Wochenhilfe;Wochenhilfe und Wochenfürsorge. Gesetzentwurf: III. B.;Bd. 350, 133. Sitz. S. 4529C;133;1921-07-07;;
Wurm;Mathilde Wurm;Wohlfahrtspflege;Behebung des Notstands kultureller und gemeinnütziger Vereinigungen, namentlich der Religionsgesellschaften und der studentischen wirtschaftlichen Selbsthilfe;Bd. 360, 352. Sitz. S. 10989B;352;1923-05-12;;
Wurm;Mathilde Wurm;Zentrale für Heimatdienst;Auflösung/ Nichtveröffentlichung eines Berichts des Ausschusses zur Nachprüfung ihrer Tätigkeit/ Versagen beim Kapp-Putsch/ Einrichtung eines besonderen Heimatdienstes für Oberschlesien;Bd. 350, 130. Sitz. S. 4367B;130;1921-07-04;;
Zetkin;Clara Zetkin;Amerika, Vereinigte Staaten;Wilsons Friedensprogramm im Lichte der wirtschaftlichen und politischen Mentalität in den Vereinigten Staaten;Bd. 358, 312. Sitz. S. 9991A;312;1923-03-07;;
Zetkin;Clara Zetkin;Amnestie;Erlaß eines Amnestiegesetzes und Gewährung von Straffreiheit. Gesetzentwürfe und Anträge: I. B:;Bd. 344, 16. Sitz. S. 548B;16;1920-08-02;;
Zetkin;Clara Zetkin;Amnestie;Gewährung für alle politischen Straftaten und für Max Hölz;Bd. 351, 137. Sitz. S. 4701B;137;1921-10-01;;
Zetkin;Clara Zetkin;Arbeitslosenfürsorge;Gleiche Unterstützungssätze für männliche und weibliche Arbeitslose/ Kopfarbeiter;Bd. 345, 19. Sitz. S. 727D;19;1920-08-05;;
Zetkin;Clara Zetkin;Arbeitslosigkeit;Wesen und Entwicklung, Beseitigung durch Kontrolle der gesamten Wirtschaft durch revolutionäre Betriebsräte und Sozialisierung;Bd. 344, 6. Sitz. S. 166C;6;1920-07-02;;
Zetkin;Clara Zetkin;Aufenthaltserlaubnis;Verweigerte Verlängerung für eine russische technische Staatskommission zur Anwerbung deutscher Arbeiter;Bd. 347, 55. Sitz. S. 2060C;55;1921-01-24;;
Zetkin;Clara Zetkin;Ausnahmezustand;Verordnungen des Reichspräsidenten vom 29. August und 28. September 1921;Bd. 351, 137. Sitz. S. 4699A;137;1921-10-01;;
Zetkin;Clara Zetkin;Auswärtige Politik;Reise des Generals Neil Malcolm, Chef der britischen Militärkommission in Berlin, nach Warschau in Begleitung deutscher Offiziere. (Anfrage);Bd. 344, 14. Sitz. S. 424D;14;1920-07-30;;
Zetkin;Clara Zetkin;Bayern;Ausnahmezustand. Aufhebung. Antrag Bartz (Hannover) u. Gen./ Aufhebung der Sondergerichte. Antrag Bartz (Hannover) u. Gen.;Bd. 351, 137. Sitz. S. 4700C;137;1921-10-01;;
Zetkin;Clara Zetkin;Boelitz, preußischer Kultusminister;Schulprogramm (Geist von Potsdam);Bd. 352, 158. Sitz. S. 5528A;158;1922-01-24;;
Zetkin;Clara Zetkin;Donaustaatenföderation;Plan der Bildung eines klerikalen reaktionären monarchistischen Staatengebildes;Bd. 358, 312. Sitz. S. 9991C;312;1923-03-07;;
Zetkin;Clara Zetkin;Dr.Helfferich;Finanzpolitik;Bd. 344, 6. Sitz. S. 165A;6;1920-07-02;;
Zetkin;Clara Zetkin;Entwaffnung der Bevölkerung;Gesetzentwurf: I. B./ Ausnahmegesetz gegen die Arbeiterschaft/ Einsetzung eines Reichskommissars, Befugnisse, Mitwirkung eines parlamentarischen Beirats;Bd. 344, 15. Sitz. S. 484A;15;1920-07-31;;
Zetkin;Clara Zetkin;Entwaffnung der Bevölkerung;Gesetzentwurf: II. B./ Ausnahmegesetz gegen die Arbeiterschaft/ Einsetzung eines Reichskommissars, Befugnisse, Mitwirkung eines parlamentarischen Beirats;Bd. 344, 17. Sitz. S. 604A;17;1920-08-03;;
Zetkin;Clara Zetkin;Entwaffnung der Bevölkerung;Gesetzentwurf: III. B./ Ausnahmegesetz gegen die Arbeiterschaft/ Durchführung, Bemängelung, Waffen der Kriegervereine und Militärorganisationen/ Einsetzung eines Reichskommissars, Befugnisse, Mitwirkung eines parlamentarischen Beirats;Bd. 345, 19. Sitz. S. 701A;19;1920-08-05;;
Zetkin;Clara Zetkin;Friedensvertrag;Herabsetzung der Heerestärke;Bd. 344, 6. Sitz. S. 163A;6;1920-07-02;;
Zetkin;Clara Zetkin;Friedensvertrag;Entwaffnung der Bevölkerung;Bd. 344, 12. Sitz. S. 331C;12;1920-07-28;;
Zetkin;Clara Zetkin;Friedensvertrag;Konferenz in Spa/ Stellung der Kommunistischen Partei, Ablehnung des Abkommens/ Kohlenabkommen/ Entwaffnung der Bevölkerung;Bd. 344, 12. Sitz. S. 328D;12;1920-07-28;;
Zetkin;Clara Zetkin;Friedensvertrag;Erfüllungspolitik, moralischer Erfolg der Zersetzung der Entente/ Erfüllung durch entschädigungslose Erfassung der Sachwerte;Bd. 358, 312. Sitz. S. 9990D;312;1923-03-07;;
Zetkin;Clara Zetkin;Jugendliche Personen;Reichsjugendwohlfahrtsgesetz. Interpellation Frau Neuhaus (Westfalen)/ Freie Liebestätigkeit, private Vereinigungen, Aufrechterhaltung;Bd. 347, 58. Sitz. S. 2181D;58;1921-01-27;;
Zetkin;Clara Zetkin;Klassenherrschaft;Ablehnung durch die Regierung;Bd. 344, 6. Sitz. S. 167C;6;1920-07-02;;
